Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,4021772288,767,196375,0,0,96,4,,
,WRITE,10000,Total,,0,8288591872,813,208340,0,0,96,4,,
,WRITE,15000,Total,,0,12498194432,802,205547,0,0,96,3,,
,WRITE,20000,Total,,0,16798781440,820,209989,0,0,96,3,,
,WRITE,25000,Total,,0,21020979200,805,206162,0,0,96,4,,
,WRITE,30000,Total,,0,25229492224,802,205493,0,0,96,4,,
,WRITE,35000,Total,,0,29417304064,798,204483,0,0,96,4,,
,WRITE,40000,Total,,0,33567498240,791,202646,0,0,96,4,,
,WRITE,45000,Total,,0,37651103744,778,199394,0,0,96,3,,
