Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,31782338560,6062,6062,0,0,8,0,,
,WRITE,10000,Total,,0,61721280512,5710,5710,0,0,8,0,,
,WRITE,15000,Total,,0,84236304384,4294,4294,0,0,8,0,,
,WRITE,20000,Total,,1,113550295040,5591,5591,0,0,8,0,,
,WRITE,25000,Total,,1,145326342144,6060,6060,0,0,8,0,,
,WRITE,30000,Total,,2,179872727040,6589,6589,0,0,8,0,,
,WRITE,35000,Total,,2,214951788544,6690,6690,0,0,8,0,,
,WRITE,40000,Total,,2,251127660544,6900,6900,0,0,8,0,,
,WRITE,45000,Total,,3,286103961600,6671,6671,0,0,8,0,,
