Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,2007220224,382,98008,0,0,16,1,,
,WRITE,10000,Total,,0,4096339968,398,102007,0,0,16,1,,
,WRITE,15000,Total,,0,6185926656,398,102030,0,0,16,1,,
,WRITE,20000,Total,,0,8260374528,395,101291,0,0,16,1,,
,WRITE,25000,Total,,0,10340761600,396,101581,0,0,16,1,,
,WRITE,30000,Total,,0,12437655552,399,102387,0,0,16,1,,
,WRITE,35000,Total,,0,14522888192,397,101818,0,0,16,1,,
,WRITE,40000,Total,,0,16598036480,395,101325,0,0,16,1,,
,WRITE,45000,Total,,0,18654773248,392,100426,0,0,16,1,,
