Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,90861207552,17330,17330,0,0,128,1,,
,WRITE,10000,Total,,0,187471757312,18427,18427,0,0,128,1,,
,WRITE,15000,Total,,0,283493007360,18314,18314,0,0,128,1,,
,WRITE,20000,Total,,0,369055760384,16319,16319,0,0,128,0,,
,WRITE,25000,Total,,0,456533213184,16685,16685,0,0,128,1,,
,WRITE,30000,Total,,0,552936144896,18387,18387,0,0,128,1,,
,WRITE,35000,Total,,0,649122021376,18346,18346,0,0,128,1,,
,WRITE,40000,Total,,0,745499787264,18382,18382,0,0,128,1,,
,WRITE,45000,Total,,0,823557881856,14888,14888,0,0,128,1,,
