Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,1032679424,196,50423,0,0,8,0,,
,WRITE,10000,Total,,0,2122608640,207,53219,0,0,8,0,,
,WRITE,15000,Total,,0,3228565504,210,54001,0,0,8,0,,
,WRITE,20000,Total,,0,4348366848,213,54677,0,0,8,0,,
,WRITE,25000,Total,,0,5437997056,207,53204,0,0,8,0,,
,WRITE,30000,Total,,0,6522150912,206,52937,0,0,8,0,,
,WRITE,35000,Total,,0,7618347008,209,53525,0,0,8,0,,
,WRITE,40000,Total,,0,8694304768,205,52537,0,0,8,0,,
,WRITE,45000,Total,,0,9769201664,205,52485,0,0,8,0,,
