ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-04-04T17:13:58-0700,,dir,1,4,2,1,1,1099511627776,4096,1,0,,1,1,0,SYNC,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.cori/elbencho" "--hosts" "nid00932 nid01690 nid12959 nid12960 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "4k" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "iops-direct.02threads.56977775.out" "--csvfile" "iops-direct.02threads.56977775.csv" "--livecsv" "iops-direct.02threads.56977775.live.csv" "--liveint" "5000" "--nolive" "/var/opt/cray/dws/mounts/batch/56977775_striped_scratch/" 
2022-04-04T17:13:58-0700,,dir,1,4,2,1,1,1099511627776,4096,1,0,,1,1,0,MKDIRS,0,1,55555,6519,,,,,0,0,2,8,,,2,87,400,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.cori/elbencho" "--hosts" "nid00932 nid01690 nid12959 nid12960 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "4k" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "iops-direct.02threads.56977775.out" "--csvfile" "iops-direct.02threads.56977775.csv" "--livecsv" "iops-direct.02threads.56977775.live.csv" "--liveint" "5000" "--nolive" "/var/opt/cray/dws/mounts/batch/56977775_striped_scratch/" 
2022-04-04T17:13:58-0700,,dir,1,4,2,1,1,1099511627776,4096,1,0,,1,1,0,SYNC,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.cori/elbencho" "--hosts" "nid00932 nid01690 nid12959 nid12960 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "4k" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "iops-direct.02threads.56977775.out" "--csvfile" "iops-direct.02threads.56977775.csv" "--livecsv" "iops-direct.02threads.56977775.live.csv" "--liveint" "5000" "--nolive" "/var/opt/cray/dws/mounts/batch/56977775_striped_scratch/" 
2022-04-04T17:14:44-0700,,dir,1,4,2,1,1,1099511627776,4096,1,0,,1,1,0,WRITE,45261,45263,,,52841,53276,206,208,0,0,,,9342,9419,,,,104,148,7790,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.cori/elbencho" "--hosts" "nid00932 nid01690 nid12959 nid12960 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "4k" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "iops-direct.02threads.56977775.out" "--csvfile" "iops-direct.02threads.56977775.csv" "--livecsv" "iops-direct.02threads.56977775.live.csv" "--liveint" "5000" "--nolive" "/var/opt/cray/dws/mounts/batch/56977775_striped_scratch/" 
