Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,84533051392,16123,16123,0,0,32,0,,
,WRITE,10000,Total,,0,175130017792,17280,17280,0,0,32,0,,
,WRITE,15000,Total,,0,266516561920,17430,17430,0,0,32,0,,
,WRITE,20000,Total,,1,356788469760,17218,17218,0,0,32,1,,
,WRITE,25000,Total,,1,443608465408,16559,16559,0,0,32,0,,
,WRITE,30000,Total,,1,525510639616,15621,15621,0,0,32,0,,
,WRITE,35000,Total,,1,614379552768,16950,16950,0,0,32,1,,
,WRITE,40000,Total,,1,703137316864,16929,16929,0,0,32,0,,
,WRITE,45000,Total,,2,792777981952,17097,17097,0,0,32,0,,
