Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,30276583424,5774,5774,0,0,64,0,,
,WRITE,10001,Total,,0,61655220224,5985,5985,0,0,64,0,,
,WRITE,15000,Total,,0,93154443264,6008,6008,0,0,64,0,,
,WRITE,20000,Total,,0,124043395072,5891,5891,0,0,64,0,,
,WRITE,25001,Total,,0,155331854336,5967,5967,0,0,64,0,,
,WRITE,30000,Total,,0,187658403840,6165,6165,0,0,64,0,,
,WRITE,35001,Total,,0,219688206336,6109,6109,0,0,64,0,,
,WRITE,40000,Total,,0,250871808000,5947,5947,0,0,64,0,,
,WRITE,45001,Total,,0,281928531968,5923,5923,0,0,64,0,,
