Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5002,Total,,0,31206670336,5952,5952,0,0,128,0,,
,WRITE,10000,Total,,0,51354009600,3842,3842,0,0,128,0,,
,WRITE,15000,Total,,0,68843208704,3335,3335,0,0,128,0,,
,WRITE,20000,Total,,0,80432070656,2210,2210,0,0,128,0,,
,WRITE,25000,Total,,0,111990013952,6019,6019,0,0,128,0,,
,WRITE,30001,Total,,0,143647571968,6038,6038,0,0,128,0,,
,WRITE,35002,Total,,0,159196905472,2965,2965,0,0,128,0,,
,WRITE,40000,Total,,0,175970975744,3199,3199,0,0,128,0,,
,WRITE,45000,Total,,0,208637263872,6230,6230,0,0,128,0,,
