Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,17850957824,3404,3404,0,0,16,3,,
,WRITE,10001,Total,,0,36081500160,3477,3477,0,0,16,2,,
,WRITE,15002,Total,,0,54317285376,3478,3478,0,0,16,2,,
,WRITE,20000,Total,,0,72418852864,3452,3452,0,0,16,2,,
,WRITE,25001,Total,,0,91243937792,3590,3590,0,0,16,2,,
,WRITE,30000,Total,,0,109544734720,3490,3490,0,0,16,1,,
,WRITE,35002,Total,,0,128132841472,3545,3545,0,0,16,2,,
,WRITE,40001,Total,,0,146366529536,3477,3477,0,0,16,2,,
,WRITE,45001,Total,,0,164971413504,3548,3548,0,0,16,2,,
