Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5002,Total,,0,6481248256,1236,1236,0,0,4,2,,
,WRITE,10001,Total,,0,13270777856,1295,1295,0,0,4,2,,
,WRITE,15001,Total,,0,20160970752,1314,1314,0,0,4,2,,
,WRITE,20000,Total,,0,27006074880,1305,1305,0,0,4,2,,
,WRITE,25000,Total,,0,33685504000,1274,1274,0,0,4,2,,
,WRITE,30001,Total,,0,40643854336,1327,1327,0,0,4,2,,
,WRITE,35001,Total,,1,47700770816,1346,1346,0,0,4,2,,
,WRITE,40001,Total,,1,54712598528,1337,1337,0,0,4,2,,
,WRITE,45001,Total,,1,61678288896,1328,1328,0,0,4,2,,
