Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,30470569984,5811,5811,0,0,64,2,,
,WRITE,10000,Total,,0,61266198528,5873,5873,0,0,64,3,,
,WRITE,15001,Total,,0,92892299264,6032,6032,0,0,64,3,,
,WRITE,20001,Total,,0,124194390016,5970,5970,0,0,64,3,,
,WRITE,25001,Total,,0,156823977984,6223,6223,0,0,64,3,,
,WRITE,30000,Total,,0,189557374976,6243,6243,0,0,64,3,,
,WRITE,35001,Total,,0,221488611328,6090,6090,0,0,64,3,,
,WRITE,40001,Total,,0,252834742272,5978,5978,0,0,64,3,,
,WRITE,45000,Total,,0,283910340608,5927,5927,0,0,64,1,,
