Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,11482955776,2190,2190,0,0,8,2,,
,WRITE,10000,Total,,0,23382196224,2269,2269,0,0,8,2,,
,WRITE,15001,Total,,0,35271999488,2267,2267,0,0,8,2,,
,WRITE,20001,Total,,0,47265611776,2287,2287,0,0,8,3,,
,WRITE,25001,Total,,0,58991837184,2236,2236,0,0,8,3,,
,WRITE,30001,Total,,0,70805094400,2253,2253,0,0,8,3,,
,WRITE,35001,Total,,0,82591088640,2248,2248,0,0,8,2,,
,WRITE,40000,Total,,1,94667538432,2303,2303,0,0,8,3,,
,WRITE,45001,Total,,1,106619207680,2279,2279,0,0,8,3,,
