Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,42003857408,8011,8011,0,0,64,0,,
,WRITE,10000,Total,,0,90168098816,9186,9186,0,0,64,1,,
,WRITE,15000,Total,,0,139365187584,9383,9383,0,0,64,1,,
,WRITE,20000,Total,,0,185142870016,8731,8731,0,0,64,0,,
,WRITE,25000,Total,,0,231583252480,8857,8857,0,0,64,1,,
,WRITE,30000,Total,,0,275642318848,8403,8403,0,0,64,0,,
,WRITE,35000,Total,,0,326635618304,9726,9726,0,0,64,0,,
,WRITE,40000,Total,,0,372207779840,8692,8692,0,0,64,0,,
,WRITE,45000,Total,,0,421974245376,9492,9492,0,0,64,1,,
