ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-03-11T15:59:53-0800,,dir,1,4,8,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002544 nid002545 nid002548 nid003489 " "--threads" "8" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.08threads.1524250.out" "--csvfile" "bw-direct.08threads.1524250.csv" "--livecsv" "bw-direct.08threads.1524250.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock/ost100" 
2022-03-11T15:59:54-0800,,dir,1,4,8,1,1,1099511627776,1048576,1,0,,1,1,0,MKDIRS,1,2,4237,12034,,,,,3,2,8,32,,,591,1206,2084,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002544 nid002545 nid002548 nid003489 " "--threads" "8" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.08threads.1524250.out" "--csvfile" "bw-direct.08threads.1524250.csv" "--livecsv" "bw-direct.08threads.1524250.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock/ost100" 
2022-03-11T15:59:54-0800,,dir,1,4,8,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002544 nid002545 nid002548 nid003489 " "--threads" "8" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.08threads.1524250.out" "--csvfile" "bw-direct.08threads.1524250.csv" "--livecsv" "bw-direct.08threads.1524250.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock/ost100" 
2022-03-11T16:00:39-0800,,dir,1,4,8,1,1,1099511627776,1048576,1,0,,1,1,0,WRITE,45253,45277,,,6499,6544,6499,6544,0,0,,,294144,296330,,,,912,4887,54402,,,,,,,,,,,,,,,,,2.1-0,"../../src/elbencho/bin.perlmutter/elbencho" "--hosts" "nid002544 nid002545 nid002548 nid003489 " "--threads" "8" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "0" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.08threads.1524250.out" "--csvfile" "bw-direct.08threads.1524250.csv" "--livecsv" "bw-direct.08threads.1524250.live.csv" "--liveint" "5000" "--nolive" "/pscratch/sd/g/glock/ost100" 
