Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,28594667520,5454,5454,0,0,16,0,,
,WRITE,10000,Total,,0,59370373120,5870,5870,0,0,16,0,,
,WRITE,15000,Total,,0,87497375744,5364,5364,0,0,16,0,,
,WRITE,20000,Total,,0,110697119744,4425,4425,0,0,16,0,,
,WRITE,25000,Total,,0,130397765632,3757,3757,0,0,16,0,,
,WRITE,30000,Total,,0,157466755072,5163,5163,0,0,16,0,,
,WRITE,35000,Total,,1,186109657088,5463,5463,0,0,16,0,,
,WRITE,40000,Total,,1,214804987904,5473,5473,0,0,16,0,,
,WRITE,45000,Total,,1,243790774272,5528,5528,0,0,16,0,,
