Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,11668553728,2225,2225,0,0,4,0,,
,WRITE,10000,Total,,0,25553797120,2648,2648,0,0,4,0,,
,WRITE,15000,Total,,0,39371931648,2635,2635,0,0,4,0,,
,WRITE,20000,Total,,1,55170826240,3013,3013,0,0,4,0,,
,WRITE,25000,Total,,1,70398246912,2904,2904,0,0,4,0,,
,WRITE,30000,Total,,1,79771467776,1787,1787,0,0,4,0,,
,WRITE,35000,Total,,2,94240768000,2759,2759,0,0,4,0,,
,WRITE,40000,Total,,2,109044563968,2823,2823,0,0,4,0,,
,WRITE,45000,Total,,2,123688976384,2793,2793,0,0,4,0,,
