Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,48836378624,9314,9314,0,0,96,0,,
,WRITE,10000,Total,,0,103347650560,10397,10397,0,0,96,1,,
,WRITE,15000,Total,,0,151358799872,9157,9157,0,0,96,1,,
,WRITE,20000,Total,,0,204678889472,10170,10170,0,0,96,1,,
,WRITE,25000,Total,,0,254103519232,9427,9427,0,0,96,1,,
,WRITE,30000,Total,,0,305842356224,9868,9868,0,0,96,1,,
,WRITE,35000,Total,,0,358900301824,10120,10120,0,0,96,1,,
,WRITE,40000,Total,,0,413932716032,10496,10496,0,0,96,0,,
,WRITE,45000,Total,,0,464832692224,9708,9708,0,0,96,0,,
