Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,52376371200,9990,9990,0,0,192,1,,
,WRITE,10000,Total,,0,107837652992,10578,10578,0,0,192,1,,
,WRITE,15000,Total,,0,167792082944,11435,11435,0,0,192,1,,
,WRITE,20000,Total,,0,223749341184,10673,10673,0,0,192,1,,
,WRITE,25000,Total,,0,281490227200,11013,11013,0,0,192,1,,
,WRITE,30000,Total,,0,333881278464,9992,9992,0,0,192,1,,
,WRITE,35000,Total,,0,388653645824,10447,10447,0,0,192,1,,
,WRITE,40000,Total,,0,445218029568,10788,10788,0,0,192,1,,
,WRITE,45000,Total,,0,500750614528,10592,10592,0,0,192,1,,
