Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,12082741248,2304,2304,0,0,8,0,,
,WRITE,10000,Total,,0,24924651520,2449,2449,0,0,8,0,,
,WRITE,15001,Total,,0,37831573504,2461,2461,0,0,8,0,,
,WRITE,20000,Total,,0,50590646272,2433,2433,0,0,8,0,,
,WRITE,25000,Total,,0,63212355584,2407,2407,0,0,8,0,,
,WRITE,30001,Total,,0,75952553984,2430,2430,0,0,8,0,,
,WRITE,35002,Total,,1,88885690368,2466,2466,0,0,8,0,,
,WRITE,40001,Total,,1,101550391296,2415,2415,0,0,8,0,,
,WRITE,45001,Total,,1,114215092224,2415,2415,0,0,8,0,,
