Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,1449082880,276,70756,0,0,96,3,,
,WRITE,10000,Total,,0,2976862208,291,74598,0,0,96,3,,
,WRITE,15000,Total,,0,4524146688,295,75551,0,0,96,3,,
,WRITE,20000,Total,,0,6081261568,296,76031,0,0,96,3,,
,WRITE,25000,Total,,0,7665610752,302,77360,0,0,96,3,,
,WRITE,30000,Total,,0,9277145088,307,78688,0,0,96,3,,
,WRITE,35000,Total,,0,10918584320,313,80148,0,0,96,3,,
,WRITE,40000,Total,,0,12589363200,318,81581,0,0,96,3,,
,WRITE,45000,Total,,0,14285791232,323,82833,0,0,96,4,,
