Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,951193600,181,46445,0,0,64,3,,
,WRITE,10000,Total,,0,1966088192,193,49555,0,0,64,3,,
,WRITE,15001,Total,,0,3002073088,197,50585,0,0,64,3,,
,WRITE,20000,Total,,0,4043452416,198,50848,0,0,64,3,,
,WRITE,25000,Total,,0,5122195456,205,52673,0,0,64,3,,
,WRITE,30000,Total,,0,6218764288,209,53543,0,0,64,3,,
,WRITE,35000,Total,,0,7340486656,213,54771,0,0,64,3,,
,WRITE,40000,Total,,0,8479006720,217,55591,0,0,64,3,,
,WRITE,45000,Total,,0,9657778176,224,57557,0,0,64,3,,
