Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,23938990080,4566,4566,0,0,32,0,,
,WRITE,10001,Total,,0,49343889408,4845,4845,0,0,32,0,,
,WRITE,15000,Total,,0,74356621312,4770,4770,0,0,32,0,,
,WRITE,20001,Total,,0,99602137088,4815,4815,0,0,32,0,,
,WRITE,25000,Total,,0,125011230720,4846,4846,0,0,32,0,,
,WRITE,30001,Total,,0,150439198720,4850,4850,0,0,32,0,,
,WRITE,35001,Total,,0,175569371136,4793,4793,0,0,32,0,,
,WRITE,40000,Total,,0,201180839936,4885,4885,0,0,32,0,,
,WRITE,45000,Total,,0,226762948608,4879,4879,0,0,32,0,,
