Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,59539456,11,2907,0,0,4,3,,
,WRITE,10002,Total,,0,125022208,12,3197,0,0,4,3,,
,WRITE,15001,Total,,0,192245760,12,3282,0,0,4,3,,
,WRITE,20000,Total,,0,261009408,13,3357,0,0,4,3,,
,WRITE,25001,Total,,0,330715136,13,3403,0,0,4,3,,
,WRITE,30002,Total,,0,402206720,13,3490,0,0,4,3,,
,WRITE,35001,Total,,0,476119040,14,3609,0,0,4,3,,
,WRITE,40001,Total,,0,551792640,14,3695,0,0,4,3,,
,WRITE,45000,Total,,0,628330496,14,3737,0,0,4,3,,
