Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,7049576448,1344,1344,0,0,4,0,,
,WRITE,10001,Total,,0,14442037248,1410,1410,0,0,4,0,,
,WRITE,15001,Total,,0,21719154688,1388,1388,0,0,4,0,,
,WRITE,20001,Total,,0,29022486528,1393,1393,0,0,4,0,,
,WRITE,25001,Total,,0,36431724544,1413,1413,0,0,4,0,,
,WRITE,30001,Total,,0,43770707968,1399,1399,0,0,4,0,,
,WRITE,35001,Total,,1,51369738240,1449,1449,0,0,4,0,,
,WRITE,40002,Total,,1,58863910912,1429,1429,0,0,4,0,,
,WRITE,45002,Total,,1,66323480576,1422,1422,0,0,4,0,,
