Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,477872128,91,23333,0,0,32,3,,
,WRITE,10000,Total,,0,1000050688,99,25497,0,0,32,3,,
,WRITE,15001,Total,,0,1533120512,101,26028,0,0,32,3,,
,WRITE,20001,Total,,0,2077089792,103,26561,0,0,32,3,,
,WRITE,25000,Total,,0,2622709760,104,26641,0,0,32,3,,
,WRITE,30000,Total,,0,3186196480,107,27514,0,0,32,4,,
,WRITE,35000,Total,,0,3754590208,108,27753,0,0,32,3,,
,WRITE,40002,Total,,0,4336156672,110,28396,0,0,32,4,,
,WRITE,45000,Total,,0,4926615552,112,28831,0,0,32,3,,
