Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,31920750592,6088,6088,0,0,96,3,,
,WRITE,10001,Total,,0,65513979904,6407,6407,0,0,96,3,,
,WRITE,15001,Total,,0,98971942912,6381,6381,0,0,96,3,,
,WRITE,20001,Total,,0,132667932672,6427,6427,0,0,96,3,,
,WRITE,25001,Total,,0,167051788288,6558,6558,0,0,96,3,,
,WRITE,30001,Total,,0,199580712960,6204,6204,0,0,96,3,,
,WRITE,35001,Total,,0,231253999616,6041,6041,0,0,96,4,,
,WRITE,40001,Total,,0,262751125504,6007,6007,0,0,96,4,,
,WRITE,45001,Total,,0,295936458752,6329,6329,0,0,96,4,,
