Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5002,Total,,0,7332691968,1398,1398,0,0,4,1,,
,WRITE,10001,Total,,0,14869856256,1437,1437,0,0,4,0,,
,WRITE,15001,Total,,0,22220374016,1402,1402,0,0,4,0,,
,WRITE,20001,Total,,0,29685186560,1423,1423,0,0,4,0,,
,WRITE,25002,Total,,0,37072404480,1409,1409,0,0,4,0,,
,WRITE,30001,Total,,1,44496322560,1416,1416,0,0,4,0,,
,WRITE,35001,Total,,1,51865714688,1405,1405,0,0,4,0,,
,WRITE,40001,Total,,1,59203649536,1399,1399,0,0,4,0,,
,WRITE,45001,Total,,1,66539487232,1399,1399,0,0,4,0,,
