Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,25910312960,4942,4942,0,0,32,0,,
,WRITE,10000,Total,,0,52998176768,5166,5166,0,0,32,0,,
,WRITE,15001,Total,,0,80152100864,5179,5179,0,0,32,0,,
,WRITE,20001,Total,,0,107487428608,5213,5213,0,0,32,0,,
,WRITE,25001,Total,,0,135342850048,5313,5313,0,0,32,0,,
,WRITE,30001,Total,,0,162574368768,5194,5194,0,0,32,0,,
,WRITE,35001,Total,,0,189537452032,5142,5142,0,0,32,0,,
,WRITE,40001,Total,,0,216190156800,5083,5083,0,0,32,0,,
,WRITE,45001,Total,,0,243643973632,5236,5236,0,0,32,0,,
