ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-03-09T11:01:47-0800,,dir,1,4,1,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "1" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.01threads.2798687.out" "--csvfile" "bw-direct.01threads.2798687.csv" "--livecsv" "bw-direct.01threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:01:47-0800,,dir,1,4,1,1,1,1099511627776,1048576,1,0,,1,1,0,MKDIRS,0,6,1517,633,,,,,3,0,1,4,,,184,224,309,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "1" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.01threads.2798687.out" "--csvfile" "bw-direct.01threads.2798687.csv" "--livecsv" "bw-direct.01threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:01:48-0800,,dir,1,4,1,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "1" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.01threads.2798687.out" "--csvfile" "bw-direct.01threads.2798687.csv" "--livecsv" "bw-direct.01threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:02:33-0800,,dir,1,4,1,1,1,1099511627776,1048576,1,0,,1,1,0,WRITE,45246,45248,,,1303,1314,1303,1314,2,2,,,58988,59475,,,,2147,3041,24769,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "1" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.01threads.2798687.out" "--csvfile" "bw-direct.01threads.2798687.csv" "--livecsv" "bw-direct.01threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
