Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,127025152,24,6202,0,0,8,3,,
,WRITE,10001,Total,,0,263385088,26,6658,0,0,8,3,,
,WRITE,15000,Total,,0,401924096,26,6764,0,0,8,3,,
,WRITE,20001,Total,,0,546062336,27,7038,0,0,8,3,,
,WRITE,25001,Total,,0,693686272,28,7208,0,0,8,3,,
,WRITE,30000,Total,,0,841658368,28,7225,0,0,8,3,,
,WRITE,35002,Total,,0,990744576,28,7279,0,0,8,3,,
,WRITE,40001,Total,,0,1141886976,28,7380,0,0,8,3,,
,WRITE,45001,Total,,0,1295339520,29,7492,0,0,8,3,,
