ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2022-03-09T11:02:33-0800,,dir,1,4,2,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.02threads.2798687.out" "--csvfile" "bw-direct.02threads.2798687.csv" "--livecsv" "bw-direct.02threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:02:33-0800,,dir,1,4,2,1,1,1099511627776,1048576,1,0,,1,1,0,MKDIRS,2,7,793,1077,,,,,4,3,2,8,,,172,232,376,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.02threads.2798687.out" "--csvfile" "bw-direct.02threads.2798687.csv" "--livecsv" "bw-direct.02threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:02:34-0800,,dir,1,4,2,1,1,1099511627776,1048576,1,0,,1,1,0,SYNC,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.02threads.2798687.out" "--csvfile" "bw-direct.02threads.2798687.csv" "--livecsv" "bw-direct.02threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
2022-03-09T11:03:19-0800,,dir,1,4,2,1,1,1099511627776,1048576,1,0,,1,1,0,WRITE,45244,45250,,,2254,2272,2254,2272,2,2,,,101982,102838,,,,2226,3518,18447,,,,,,,,,,,,,,,,,2.1-0,"/global/u2/g/glock/src/elbencho/bin.cgpu/elbencho" "--hosts" "cgpu03 cgpu04 cgpu05 cgpu06 " "--threads" "2" "--files" "1" "--size" "1t" "--block" "1m" "--blockvaralgo" "fast" "--blockvarpct" "100" "--mkdirs" "--write" "--sync" "--dirsharing" "--direct" "--delfiles" "--deldirs" "--timelimit" "45" "--resfile" "bw-direct.02threads.2798687.out" "--csvfile" "bw-direct.02threads.2798687.csv" "--livecsv" "bw-direct.02threads.2798687.live.csv" "--liveint" "5000" "--nolive" "/vast/glock" 
