Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5000,Total,,0,32413581312,6182,6182,0,0,96,0,,
,WRITE,10001,Total,,0,66804776960,6559,6559,0,0,96,0,,
,WRITE,15001,Total,,0,100213456896,6372,6372,0,0,96,0,,
,WRITE,20001,Total,,0,133515182080,6351,6351,0,0,96,0,,
,WRITE,25001,Total,,0,166223413248,6238,6238,0,0,96,0,,
,WRITE,30001,Total,,0,194572713984,5407,5407,0,0,96,0,,
,WRITE,35000,Total,,0,216497389568,4181,4181,0,0,96,0,,
,WRITE,40001,Total,,0,248483151872,6100,6100,0,0,96,0,,
,WRITE,45000,Total,,0,282250444800,6440,6440,0,0,96,0,,
