Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Active,CPU,Service,
,WRITE,5001,Total,,0,76402393088,14572,14572,0,0,8,5,,
,WRITE,10001,Total,,1,155947368448,15172,15172,0,0,8,6,,
,WRITE,15001,Total,,2,219661991936,12152,12152,0,0,8,7,,
,WRITE,20001,Total,,3,279425581056,11399,11399,0,0,8,6,,
,WRITE,25001,Total,,3,319810437120,7702,7702,0,0,8,5,,
,WRITE,30001,Total,,4,352542785536,6243,6243,0,0,8,4,,
,WRITE,35001,Total,,4,380284960768,5291,5291,0,0,8,4,,
,WRITE,40001,Total,,4,406747873280,5047,5047,0,0,8,3,,
,WRITE,45001,Total,,4,433130045440,5032,5032,0,0,8,3,,
,WRITE,50000,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,55000,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,60001,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,65001,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,70000,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,75001,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,80001,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,85002,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,90001,Total,,4,433130045440,0,0,0,0,8,3,,
,WRITE,95001,Total,,4,433130045440,0,0,0,0,8,3,,
